version,topology,graph_name,method,base_method,lambda,adaptive_lambda_initial,n,m,density,avg_degree,max_degree,min_cardinality,max_cardinality,avg_cardinality,family,cardinality_mode,induced_width,max_clique_size,total_fill_edges,peak_factor_entries,peak_factor_log10,final_edge_count,ve_status,ve_runtime,ve_max_observed_entries,ve_factor_ops,ordering_time,total_runtime,order_prefix,status,p,seed,rows,cols,attachment_m,source,benchmark
v2,low_treewidth,chain_n50,fill_pressure_lam2,fill_pressure,2.0,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0009949999948730692,25,148,0.004007834009826183,0.0050028340046992525,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n50,adaptive_fill_pressure,adaptive_fill_pressure,,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0009979579917853698,25,148,0.008128957997541875,0.009126915989327244,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n100,min_degree,min_degree,,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.0025430829991819337,25,298,0.0026239160069962963,0.00516699900617823,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,min_fill,min_fill,,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.002788124998915009,25,298,0.00531079201027751,0.008098917009192519,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,weighted_min_fill,weighted_min_fill,,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.0025500829942757264,25,298,0.006160542005090974,0.0087106249993667,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,hybrid_degree_lam0.1,hybrid,0.1,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.002574750003986992,25,298,0.017009916991810314,0.019584666995797306,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,fill_pressure_lam0,fill_pressure,0.0,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.002661625010659918,25,298,0.016037207999033853,0.01869883300969377,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,fill_pressure_lam0.01,fill_pressure,0.01,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.002615125005831942,25,298,0.019676207986776717,0.02229133299260866,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,fill_pressure_lam0.05,fill_pressure,0.05,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.003938916997867636,25,298,0.02896645800501574,0.032905375002883375,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,fill_pressure_lam0.1,fill_pressure,0.1,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.00266433299111668,25,298,0.037737916005426086,0.04040224899654277,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,fill_pressure_lam0.5,fill_pressure,0.5,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.0026386660028947517,25,298,0.016566916994634084,0.019205582997528836,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,fill_pressure_lam1,fill_pressure,1.0,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.002576290993602015,25,298,0.021629874987411313,0.024206165981013328,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,fill_pressure_lam2,fill_pressure,2.0,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.002546999996411614,25,298,0.016555207999772392,0.019102207996184006,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,chain_n100,adaptive_fill_pressure,adaptive_fill_pressure,,0.0,100,99,0.02,1.98,2,2,5,3.35,chain,mixed,1,2,0,25,1.3979400086720377,99,ok,0.002602417007437907,25,298,0.039840957993874326,0.042443375001312234,"chain100_0,chain100_1,chain100_2,chain100_3,chain100_4,chain100_5,chain100_6,chain100_7",ok,,,,,,,
v2,low_treewidth,tree_n50,min_degree,min_degree,,0.0,50,49,0.04,1.96,5,2,5,3.36,tree,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0010457919997861609,25,148,0.0007907500112196431,0.001836542011005804,"tree50s50_1,tree50s50_10,tree50s50_15,tree50s50_12,tree50s50_17,tree50s50_2,tree50s50_23,tree50s50_11",ok,,,,,,,
v2,low_treewidth,tree_n50,min_fill,min_fill,,0.0,50,49,0.04,1.96,5,2,5,3.36,tree,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0011114579974673688,25,148,0.0015658330084988847,0.0026772910059662536,"tree50s50_1,tree50s50_10,tree50s50_15,tree50s50_12,tree50s50_17,tree50s50_2,tree50s50_23,tree50s50_11",ok,,,,,,,
